epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0207,2.63796,3.61796,1.69663,0.0541,0.53015,0.05208,0.02016,2.14209,3.38564,1.29483,6e-05,6e-05,6e-05
2,47.8089,2.3496,3.40861,1.38604,0.08756,0.85427,0.1182,0.04813,1.8679,3.34438,1.16141,0.00013802,0.00013802,0.00013802
3,68.4603,2.02977,2.79865,1.33134,0.10095,0.92965,0.16041,0.06966,1.8882,3.25416,1.17709,0.000213777,0.000213777,0.000213777
4,88.3996,2.04214,2.10572,1.15425,0.09257,0.85176,0.39025,0.13279,2.01625,3.06143,1.25122,0.000287271,0.000287271,0.000287271
5,109.478,1.84987,1.69879,1.14195,0.13358,0.88945,0.60172,0.25476,1.96789,2.75749,1.18904,0.000358503,0.000358503,0.000358503
6,130.161,1.99731,3.96837,1.23921,0.73533,0.39698,0.51547,0.21701,1.93126,2.74218,1.16453,0.000427471,0.000427471,0.000427471
7,150.415,1.83743,1.4097,1.17404,0.79794,0.32743,0.52493,0.25742,1.75242,2.55849,1.09102,0.000494177,0.000494177,0.000494177
8,171.21,1.79546,1.18661,1.11397,0.89584,0.45381,0.68316,0.33321,1.72848,2.14399,1.08662,0.00055862,0.00055862,0.00055862
9,193.587,1.82115,1.07118,1.08763,0.93735,0.45113,0.69346,0.34966,1.77617,2.20058,1.12295,0.0006208,0.0006208,0.0006208
10,214.267,1.63398,1.08589,1.11649,0.94773,0.27332,0.52712,0.2555,1.77488,2.58553,1.16383,0.000680717,0.000680717,0.000680717
11,235.312,1.67896,1.11995,1.14735,0.92716,0.25587,0.49174,0.21851,1.77505,2.6762,1.16789,0.000738371,0.000738371,0.000738371
12,256.753,1.619,0.98682,1.06366,0.92043,0.34877,0.55756,0.29107,1.70742,2.41189,1.14103,0.000793763,0.000793763,0.000793763
13,278.088,1.98313,1.2605,1.33032,0.86618,0.56921,0.7088,0.39962,1.64114,1.95238,1.09325,0.000846891,0.000846891,0.000846891
14,299.524,1.55894,0.98519,1.1053,0.90663,0.62563,0.78949,0.39094,1.75085,1.70868,1.11776,0.000897757,0.000897757,0.000897757
15,319.929,1.62607,0.95114,1.11341,0.87997,0.75879,0.84689,0.43962,1.67279,1.39203,1.09283,0.00094636,0.00094636,0.00094636
16,341.502,1.5978,1.01161,1.07334,0.89963,0.74874,0.88147,0.50314,1.51957,1.26739,1.03112,0.0009927,0.0009927,0.0009927
17,361.735,1.53991,0.91182,1.06102,0.84373,0.73257,0.85735,0.50693,1.47253,1.25063,1.01991,0.00103678,0.00103678,0.00103678
18,382.673,1.5105,1.01507,1.04967,0.93744,0.86935,0.94103,0.54721,1.44986,1.11274,1.01287,0.00107859,0.00107859,0.00107859
19,403.336,1.44426,0.85964,1.02489,0.92495,0.867,0.94262,0.56308,1.40203,1.07639,0.99989,0.00111814,0.00111814,0.00111814
20,425.482,1.53254,0.93862,1.01008,0.92175,0.88792,0.94887,0.56957,1.42912,1.07797,1.01071,0.00115543,0.00115543,0.00115543
21,445.156,1.41827,0.87976,1.06214,0.93701,0.89701,0.96983,0.58495,1.40528,1.11998,1.00372,0.00119046,0.00119046,0.00119046
22,466.598,1.49682,0.96419,1.01743,0.91547,0.92524,0.97272,0.57721,1.37321,1.14315,0.99018,0.00122322,0.00122322,0.00122322
23,487.536,1.40687,0.83744,1.01862,0.94288,0.91244,0.96649,0.59423,1.33388,1.12406,0.969,0.00125372,0.00125372,0.00125372
24,509.035,1.50838,0.90466,0.96514,0.921,0.90807,0.96246,0.61024,1.27121,1.0602,0.94754,0.00128196,0.00128196,0.00128196
25,529.384,1.32603,0.77044,0.96057,0.91646,0.94724,0.96421,0.60244,1.27948,1.02996,0.9527,0.00130793,0.00130793,0.00130793
26,551.179,1.31332,0.90048,0.98288,0.94042,0.96482,0.97622,0.60731,1.29011,0.99417,0.96344,0.00129286,0.00129286,0.00129286
27,572.552,1.33821,0.79971,0.97898,0.95194,0.94559,0.97732,0.61936,1.27567,0.93792,0.95653,0.00126457,0.00126457,0.00126457
28,594.024,1.42332,0.84692,0.97886,0.96278,0.95226,0.98212,0.6227,1.25045,0.92996,0.95289,0.00123629,0.00123629,0.00123629
29,615.41,1.27533,0.74344,0.97938,0.94072,0.9569,0.98123,0.60503,1.30002,0.96685,0.96735,0.001208,0.001208,0.001208
30,635.662,1.43937,1.0295,1.17852,0.9404,0.95146,0.9831,0.61947,1.27487,0.96747,0.95354,0.00117971,0.00117971,0.00117971
31,656.677,1.23737,0.91811,1.00449,0.95911,0.98241,0.98812,0.6322,1.2586,0.94356,0.95219,0.00115143,0.00115143,0.00115143
32,676.357,1.29803,7.26232,0.98394,0.95824,0.98022,0.9851,0.60756,1.30384,1.01094,0.97039,0.00112314,0.00112314,0.00112314
33,696.868,1.32993,0.80213,0.97502,0.96169,0.94607,0.98205,0.6437,1.20948,1.06789,0.94079,0.00109486,0.00109486,0.00109486
34,718.55,1.33846,0.84671,1.06757,0.95034,0.91355,0.9731,0.63073,1.23669,1.09475,0.94621,0.00106657,0.00106657,0.00106657
35,739.166,1.26052,0.82667,0.9975,0.94753,0.90744,0.97095,0.62044,1.26627,1.01471,0.9491,0.00103829,0.00103829,0.00103829
36,760.702,1.23044,0.76742,0.93874,0.96127,0.93541,0.98317,0.63661,1.20686,0.86906,0.93596,0.00101,0.00101,0.00101
37,781.299,1.22935,0.74075,0.93805,0.96297,0.95477,0.98763,0.66076,1.16145,0.77323,0.9296,0.000981714,0.000981714,0.000981714
38,802.824,1.21168,0.73627,0.96378,0.95988,0.96734,0.98834,0.66155,1.15565,0.73759,0.92993,0.000953429,0.000953429,0.000953429
39,823.471,1.17535,0.79387,0.97933,0.96278,0.975,0.98779,0.63505,1.22219,0.74724,0.93646,0.000925143,0.000925143,0.000925143
